rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A1_imaging,40626073,PMC12118306,10.1002/smo.20230006,2023,Smart molecules : open access,research-article; Journal Article,Magnetic-optical dual functional Janus particles for the detection of metal ions assisted by machine learning.,"Functional polymer microspheres have broad application prospects in various fields, such as metal ion detection, adsorption, separation, and controlled drug release. However, integrating different functions in a single microsphere system is a significant challenge in this field. In this work, we prepared multicompartmental emulsion droplets utilizing microfluidic technology. Fe3O4 magnetic nanoparticles were added to one of the compartments of the emulsion droplets as functional particles, and Janus microspheres were obtained after curing. Fluorescent probes enter the two compartments of the Janus microspheres by diffusion. The fluorescence changes of the microspheres were observed in situ and captured through a fluorescence microscope. The images are processed by image recognition software and a Python program. The ""fingerprint"" of the detected metal ions is obtained by dimensionality reduction of the data through Principal Component Analysis. We employ different algorithms to build Machine Learning models for predicting the metal ion species and concentration. The variation of fluorescence intensity of the three fluorescent probes and the corresponding R, G, and B channel values and time are used as descriptors. The results show that the Random Forest, K-neighborhood (KNN), and Neural Network models demonstrated a better predicted effect with a variance (R2) greater than 0.9 and a smaller root mean square error; among them, the KNN model predicted the most accurate results."
2,A1_imaging,36416374,PMC10107930,10.1111/his.14846,2023,Histopathology,research-article; Journal Article,Myelofibrosis progression grading based on type I and type III collagen and fibrillin 1 expression boosted by whole slide image analysis.,"AimsThe progression of primary myelofibrosis is characterised by ongoing extracellular matrix deposition graded based on 'reticulin' and 'collagen' fibrosis, as revealed by Gomori's silver impregnation. Here we studied the expression of the major extracellular matrix proteins of fibrosis in relation to diagnostic silver grading supported by image analysis.Methods and resultsBy using automated immunohistochemistry, in this study we demonstrate that the expression of both types I and III collagens and fibrillin 1 by bone marrow stromal cells can reveal the extracellular matrix scaffolding in line with myelofibrosis progression as classified by silver grading. 'Reticulin' fibrosis indicated by type III collagen expression and 'collagen' fibrosis featured by type I collagen expression were parallel, rather than sequential, events. This is line with the proposed role of type III collagen in regulating type I collagen fibrillogenesis. The uniformly strong fibrillin 1 immune signals offered the best inter-rater agreements and the highest statistical correlations with silver grading of the three markers, which was robustly confirmed by automated whole slide digital image analysis using a machine learning-based algorithm. The progressive up-regulation of fibrillin 1 during myelofibrosis may result from a negative feedback loop as fibrillin microfibrils sequester TGF-β, the major promoter of fibrosis. This can also reduce TGF-β-induced RANKL levels, which would stimulate osteoclastogenesis and thus can support osteosclerosis in advanced myelofibrosis.ConclusionsThrough the in-situ detection of these extracellular matrix proteins, our results verify the molecular pathobiology of fibrosis during myelofibrosis progression. In particular, fibrillin 1 immunohistochemistry, with or without image analysis, can complement diagnostic silver grading at decent cell morphology."
3,A1_imaging,36961758,PMC10161767,10.1107/s205225252300204x,2023,IUCrJ,research-article; Journal Article,Fast extraction of three-dimensional nanofiber orientation from WAXD patterns using machine learning.,"Structural disclosure of biological materials can help our understanding of design disciplines in nature and inspire research for artificial materials. Synchrotron microfocus X-ray diffraction is one of the main techniques for characterizing hierarchically structured biological materials, especially the 3D orientation distribution of their interpenetrating nanofiber networks. However, extraction of 3D fiber orientation from X-ray patterns is still carried out by iterative parametric fitting, with disadvantages of time consumption and demand for expertise and initial parameter estimates. When faced with high-throughput experiments, existing analysis methods cannot meet the real time analysis challenges. In this work, using the assumption that the X-ray illuminated volume is dominated by two groups of nanofibers in a gradient biological composite, a machine-learning based method is proposed for fast and automatic fiber orientation metrics prediction from synchrotron X-ray micro-focused diffraction data. The simulated data were corrupted in the training procedure to guarantee the prediction ability of the trained machine-learning algorithm in real-world experimental data predictions. Label transformation was used to resolve the jump discontinuity problem when predicting angle parameters. The proposed method shows promise for application in the automatic data-processing pipeline for fast analysis of the vast data generated from multiscale diffraction-based tomography characterization of textured biomaterials."
4,A1_imaging,41127549,PMC12538699,10.1016/j.mtbio.2025.102352,2025,Materials today. Bio,research-article; Journal Article,"Acquisition, quality control, and architecture of a large image dataset as a tool for in silico cell biological research.","We present a large-scale, standardized image dataset and analysis pipeline designed to enable in silico discovery of cell-material interactions. This resource paper introduces an open, FAIR-aligned framework for acquiring, curating, and analyzing high-content imaging data of kidney podocytes cultured on 2176 micro-topographical surfaces using the TopoChip platform. Our workflow includes automated imaging, tilt correction, object segmentation, and multi-tiered quality control, resulting in over 5500 morphological features for >1.2 million cells. Structured metadata, standardized file architectures, and ontological annotations ensure that the dataset is fully interoperable and ready for reuse. To illustrate its versatility, we provide examples of how this resource supports machine learning model development, reproducible benchmarking, and hypothesis testing in cell biology and biomaterials science. This dataset and accompanying tools are designed as a foundational reference for the community, enabling scalable, quantitative, and reproducible exploration of how microenvironments shape cell behavior."
5,A1_imaging,40438669,PMC12108964,10.1039/d5na00265f,2025,Nanoscale advances,research-article; Journal Article,Machine learning to predict gold nanostar optical properties.,"Gold nanostars (AuNS) are nanoparticles with spiky structures and morphology-dependent optical features. These include strong extinction coefficients in the visible and near-infrared regions of the spectrum, which are commonly exploited for biomedical imaging and therapy. AuNS can be obtained via seedless protocols with Good's buffers, which are beneficial because of their simplicity and the use of biocompatible reagents. However, AuNS growth and optical properties are affected by various experimental factors during their seedless synthesis, which affects their performance in diagnosis and therapy. In this study, we develop a workflow based on machine learning models to predict AuNS optical properties. This approach includes data collection, feature selection, data generation, and model selection, resulting in predictions of the first and second localized surface plasmon resonance positions within 9 and 15% of their true values (root-mean-squared percentage error), respectively. Our results highlight the benefits of using machine learning models to infer the optical properties of AuNS from their synthesis conditions, potentially improving nanoparticle design and production for better disease diagnosis and therapy."
6,A1_imaging,34938925,PMC8665348,10.1016/j.bioactmat.2021.09.018,2022,Bioactive materials,research-article; Journal Article,A deep-learning-based workflow to deal with the defocusing problem in high-throughput experiments.,"The increasing throughput of experiments in biomaterials research makes automatic techniques more and more necessary. Among all the characterization methods, microscopy makes fundamental contributions to biomaterials science where precisely focused images are the basis of related research. Although automatic focusing has been widely applied in all kinds of microscopes, defocused images can still be acquired now and then due to factors including background noises of materials and mechanical errors. Herein, we present a deep-learning-based method for the automatic sorting and reconstruction of defocused cell images. First, the defocusing problem is illustrated on a high-throughput cell microarray. Then, a comprehensive dataset of phase-contrast images captured from varied conditions containing multiple cell types, magnifications, and substrate materials is prepared to establish and test our method. We obtain high accuracy of over 0.993 on the dataset using a simple network architecture that requires less than half of the training time compared with the classical ResNetV2 architecture. Moreover, the subcellular-level reconstruction of heavily defocused cell images is achieved with another architecture. The applicability of the established workflow in practice is finally demonstrated on the high-throughput cell microarray. The intelligent workflow does not require a priori knowledge of focusing algorithms, possessing widespread application value in cell experiments concerning high-throughput or time-lapse imaging."
7,A1_imaging,34576503,PMC8471570,10.3390/ma14185278,2021,"Materials (Basel, Switzerland)",research-article; Journal Article,Artificial Intelligence Aided Design of Tissue Engineering Scaffolds Employing Virtual Tomography and 3D Convolutional Neural Networks.,"Design requirements for different mechanical metamaterials, porous constructions and lattice structures, employed as tissue engineering scaffolds, lead to multi-objective optimizations, due to the complex mechanical features of the biological tissues and structures they should mimic. In some cases, the use of conventional design and simulation methods for designing such tissue engineering scaffolds cannot be applied because of geometrical complexity, manufacturing defects or large aspect ratios leading to numerical mismatches. Artificial intelligence (AI) in general, and machine learning (ML) methods in particular, are already finding applications in tissue engineering and they can prove transformative resources for supporting designers in the field of regenerative medicine. In this study, the use of 3D convolutional neural networks (3D CNNs), trained using digital tomographies obtained from the CAD models, is validated as a powerful resource for predicting the mechanical properties of innovative scaffolds. The presented AI-aided or ML-aided design strategy is believed as an innovative approach in area of tissue engineering scaffolds, and of mechanical metamaterials in general. This strategy may lead to several applications beyond the tissue engineering field, as we analyze in the discussion and future proposals sections of the research study."
8,A1_imaging,36328994,PMC9902733,10.23876/j.krcp.22.017,2023,Kidney research and clinical practice,research-article; Journal Article,Deep learning predicts the differentiation of kidney organoids derived from human induced pluripotent stem cells.,"BackgroundKidney organoids derived from human pluripotent stem cells (hPSCs) contain multilineage nephrogenic progenitor cells and can recapitulate the development of the kidney. Kidney organoids derived from hPSCs have the potential to be applied in regenerative medicine as well as renal disease modeling, drug screening, and nephrotoxicity testing. Despite biotechnological advances, individual differences in morphological and growth characteristics among kidney organoids need to be addressed before clinical and commercial application. In this study, we hypothesized that an automated noninvasive method based on deep learning of bright-field images of kidney organoids can predict their differentiation status.MethodsBright-field images of kidney organoids were collected on day 18 after differentiation. To train convolutional neural networks (CNNs), we utilized a transfer learning approach. CNNs were trained to predict the differentiation of kidney organoids on bright-field images based on the messenger RNA expression of renal tubular epithelial cells as well as podocytes.ResultsThe best prediction model was DenseNet121 with a total Pearson correlation coefficient score of 0.783 on a test dataset. W classified the kidney organoids into two categories: organoids with above-average gene expression (Positive) and those with below-average gene expression (Negative). Comparing the best-performing CNN with human-based classifiers, the CNN algorithm had a receiver operating characteristic-area under the curve (AUC) score of 0.85, while the experts had an AUC score of 0.48.ConclusionThese results confirmed our original hypothesis and demonstrated that our artificial intelligence algorithm can successfully recognize the differentiation status of kidney organoids."
9,A1_imaging,41310679,PMC12752004,10.1186/s12903-025-07400-5,2025,BMC oral health,Comparative Study; research-article; Journal Article,"Comparative analysis of nerve fibers, PIEZO family and bone structural parameters difference surrounding dental implants.","BackgroundNerve fibers embedded within bone tissue play a pivotal role in regulating osseous homeostasis. Emerging evidence indicates the presence of neural networks surrounding dental implants. The functional integrity of these nerve fibers is maintained through various ion channels, particularly those belonging to the PIEZO family. This study aims to: (1) characterize the spatial distribution patterns of nerve fibers and PIEZO family around dental implants, and (2) investigate their potential correlations with bone microarchitecture surrounding dental implants.MethodsMale rat models with right maxillary first molar dental implants were established. Following a 4-week osseointegration period, spatial variations in nerve fiber density and PIEZO family expression were quantitatively assessed across 8 anatomically defined buccolingual regions. Complementary Micro-CT analyses were performed to evaluate three-dimensional bone microarchitecture surrounding dental implants.ResultsThe study revealed regional heterogeneity in nerve fiber density across the 4 anatomical zones. Nerve fiber density showed no significant difference between peri-implant and adjacent tissues. While PIEZO-positive fibers generally mirrored overall nerve fiber distribution, the apical region exhibited a significantly higher proportion of PIEZO2-positive fibers in peri-implant bone versus adjacent bone.ConclusionsPeri-implant regions exhibited higher nerve fiber density and enhanced bone microarchitecture, suggesting neurogenic modulation of osseointegration dynamics. Mechanistically, the PIEZO family may mediate this neuro-osseous crosstalk during bone remodeling around implants. These findings offer novel perspectives on the mechanistic basis of peri-implant bone adaptation."
10,A1_imaging,34027089,PMC8126813,10.1002/btm2.10200,2021,Bioengineering & translational medicine,research-article; Journal Article,Screening of important metabolites and KRAS genotypes in colon cancer using secondary ion mass spectrometry.,"Time-of-flight secondary ion mass spectrometry (TOF-SIMS) is an imaging-based analytical technique that can characterize the surfaces of biomaterials. We used TOF-SIMS to identify important metabolites and oncogenic KRAS mutation expressed in human colorectal cancer (CRC). We obtained 540 TOF-SIMS spectra from 180 tissue samples by scanning cryo-sections and selected discriminatory molecules using the support vector machine (SVM) algorithm. Each TOF-SIMS spectrum contained nearly 860,000 ion profiles and hundreds of spectra were analyzed; therefore, reducing the dimensionality of the original data was necessary. We performed principal component analysis after preprocessing the spectral data, and the principal components (20) of each spectrum were used as the inputs of the SVM algorithm using the R package. The performance of the algorithm was evaluated using the receiver operating characteristic (ROC) area under the curve (AUC) (0.9297). Spectral peaks (m/z) corresponding to discriminatory molecules used to classify normal and tumor samples were selected according to p-value and were assigned to arginine, α-tocopherol, and fragments of glycerophosphocholine. Pathway analysis using these discriminatory molecules showed that they were involved in gastrointestinal disease and organismal abnormalities. In addition, spectra were classified according to the expression of KRAS somatic mutation, with 0.9921 AUC. Taken together, TOF-SIMS efficiently and simultaneously screened metabolite biomarkers and performed KRAS genotyping. In addition, a machine learning algorithm was provided as a diagnostic tool applied to spectral data acquired from clinical samples prepared as frozen tissue slides, which are commonly used in a variety of biomedical tests."
