rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A3_sensors,36064877,PMC9445076,10.1038/s41598-022-18271-z,2022,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Seizure-related differences in biosignal 24-h modulation patterns.,"A seizure likelihood biomarker could improve seizure monitoring and facilitate adjustment of treatments based on seizure risk. Here, we tested differences in patient-specific 24-h-modulation patterns of electrodermal activity (EDA), peripheral body temperature (TEMP), and heart rate (HR) between patients with and without seizures. We enrolled patients who underwent continuous video-EEG monitoring at Boston Children's Hospital to wear a biosensor. We divided patients into two groups: those with no seizures and those with at least one seizure during the recording period. We assessed the 24-h modulation level and amplitude of EDA, TEMP, and HR. We performed machine learning including physiological and clinical variables. Subsequently, we determined classifier performance by cross-validated machine learning. Patients with seizures (n = 49) had lower EDA levels (p = 0.031), EDA amplitudes (p = 0.045), and trended toward lower HR levels (p = 0.060) compared to patients without seizures (n = 68). Averaged cross-validated classification accuracy was 69% (AUC-ROC: 0.75). Our results show the potential to monitor and forecast risk for epileptic seizures based on changes in 24-h patterns in wearable recordings in combination with clinical variables. Such biomarkers might be applicable to inform care, such as treatment or seizure injury risk during specific periods, scheduling diagnostic tests, such as admission to the epilepsy monitoring unit, and potentially other neurological and chronic conditions."
2,A3_sensors,41012864,PMC12473479,10.3390/s25185627,2025,"Sensors (Basel, Switzerland)",research-article; Journal Article,Spectral Demodulation of Mixed-Linewidth FBG Sensor Networks Using Cloud-Based Deep Learning for Land Monitoring.,"Fiber Bragg grating (FBG) sensing systems face significant challenges in resolving overlapping spectral signatures when multiple sensors operate within limited wavelength ranges, severely limiting sensor density and network scalability. This study introduces a novel Transformer-based neural network architecture that effectively resolves spectral overlap in both uniform and mixed-linewidth FBG sensor arrays, operating under bidirectional drift. The system uniquely combines dual-linewidth configurations with reflection and transmission mode fusion to enhance demodulation accuracy and sensing capacity. By integrating cloud computing, the model enables scalable deployment and near-real-time inference even in large-scale monitoring environments. The proposed approach supports self-healing functionality through dynamic switching between spectral modes during fiber breaks and enhances resilience against spectral congestion. Comprehensive evaluation across twelve drift scenarios demonstrates exceptional demodulation performance under severe spectral overlap conditions that challenge conventional peak-finding algorithms. This breakthrough establishes a new paradigm for high-density, distributed FBG sensing networks applicable to land monitoring, soil stability assessment, groundwater detection, maritime surveillance, and smart agriculture."
3,A3_sensors,36678055,PMC9862774,10.3390/nano13020298,2023,"Nanomaterials (Basel, Switzerland)",research-article; Journal Article,Modeling and Optimization of Sensitivity and Creep for Multi-Component Sensing Materials.,"Pressure sensors urgently need high-performance sensing materials in order to be developed further. Sensitivity and creep are regarded as two key indices for assessing a sensor's performance. For the design and optimization of sensing materials, an accurate estimation of the impact of several parameters on sensitivity and creep is essential. In this study, sensitivity and creep were predicted using the response surface methodology (RSM) and support vector regression (SVR), respectively. The input parameters were the concentrations of nickel (Ni) particles, multiwalled carbon nanotubes (MWCNTs), and multilayer graphene (MLG), as well as the magnetic field intensity (B). According to statistical measures, the SVR model exhibited a greater level of predictability and accuracy. The non-dominated sorting genetic-II algorithm (NSGA-II) was used to generate the Pareto-optimal fronts, and decision-making was used to determine the final optimal solution. With these conditions, the optimized results revealed an improved performance compared to the earlier study, with an average sensitivity of 0.059 kPa-1 in the pressure range of 0-16 kPa and a creep of 0.0325, which showed better sensitivity in a wider range compared to previous work. The theoretical sensitivity and creep were relatively similar to the actual values, with relative deviations of 0.317% and 0.307% after simulation and experimental verification. Future research for transducer performance optimization can make use of the provided methodology because it is representative."
4,A3_sensors,41228930,PMC12610047,10.3390/s25216705,2025,"Sensors (Basel, Switzerland)",research-article; Journal Article,Deep Learning Algorithms for Human Activity Recognition in Manual Material Handling Tasks.,"Human Activity Recognition (HAR) is widely used for healthcare, but few works focus on Manual Material Handling (MMH) activities, despite their diffusion and impact on the workers' health. We propose four Deep Learning algorithms for HAR in MMH: Bidirectional Long Short-Term Memory (BiLSTM), Sparse Denoising Autoencoder (Sp-DAE), Recurrent Sp-DAE, and Recurrent Convolutional Neural Network (RCNN). We explored different hyperparameter combinations to maximize the classification performance (F1-score,) using wearable sensors' data gathered from 14 subjects. We investigated the best three-parameter combinations for each network using the full dataset to select the two best-performing networks, which were then compared using 14 datasets with increasing subject numerosity, 70-30% split, and Leave-One-Subject-Out (LOSO) validation, to evaluate whether they may perform better with a larger dataset. The benchmarking network DeepConvLSTM was tested on the full dataset. BiLSTM performs best in classification and complexity (95.7% 70-30% split; 90.3% LOSO). RCNN performed similarly (95.9%; 89.2%) with a positive trend with subject numerosity. DeepConvLSTM achieves similar classification performance (95.2%; 90.3%) but requires ×57.1 and ×31.3 more Multiply and ACcumulate (MAC) and ×100.8 and ×28.3 more Multiplication and Addition (MA) operations, which measure the complexity of the network's inference process, than BiLSTM and RCNN, respectively. The BILSTM and RCNN perform close to DeepConvLSTM while being computationally lighter, fostering their use in embedded systems. Such lighter algorithms can be readily used in the automatic ergonomic and biomechanical risk assessment systems, enabling personalization of risk assessment and easing the adoption of safety measures in industrial practices involving MMH."
5,A3_sensors,40732595,PMC12298904,10.3390/s25144466,2025,"Sensors (Basel, Switzerland)",research-article; Journal Article,Single-Sensor Impact Source Localization Method for Anisotropic Glass Fiber Composite Wind Turbine Blades.,"The wind turbine blade is subject to multi-source impacts, such as bird strikes, lightning strikes, and hail, throughout its extended service. Accurate localization of those impact sources is a key technical link in structural health monitoring of the wind turbine blade. In this paper, a single-sensor impact source localization method is proposed. Capitalizing on deep learning frameworks, this method innovatively transforms the impact source localization problem into a classification task, thereby eliminating the need for anisotropy compensation and correction required by conventional localization algorithms. Furthermore, it leverages the inherent coding effects of the blade's material and geometric anisotropy on impact sources originating from different positions, enabling localization using only a single sensor. Experimental results show that the method has a high localization accuracy of 96.9% under single-sensor conditions, which significantly reduces the cost compared to the traditional multi-sensor array scheme. This study provides a cost-effective solution for real-time detection of wind turbine blade impact events."
6,A3_sensors,39275395,PMC11398124,10.3390/s24175484,2024,"Sensors (Basel, Switzerland)",research-article; Journal Article,Data-Driven Strain Sensor Design Based on a Knowledge Graph Framework.,"Wearable flexible strain sensors require different performance depending on the application scenario. However, developing strain sensors based solely on experiments is time-consuming and often produces suboptimal results. This study utilized sensor knowledge to reduce knowledge redundancy and explore designs. A framework combining knowledge graphs and graph representational learning methods was proposed to identify targeted performance, decipher hidden information, and discover new designs. Unlike process-parameter-based machine learning methods, it used the relationship as semantic features to improve prediction precision (up to 0.81). Based on the proposed framework, a strain sensor was designed and tested, demonstrating a wide strain range (300%) and closely matching predicted performance. This predicted sensor performance outperforms similar materials. Overall, the present work is favorable to design constraints and paves the way for the long-awaited implementation of text-mining-based knowledge management for sensor systems, which will facilitate the intelligent sensor design process."
7,A3_sensors,40474423,PMC12369696,10.1002/adma.202502203,2025,"Advanced materials (Deerfield Beach, Fla.)",research-article; Journal Article,"Stretchable, Multiplexed, and Bimodal Sensing Electronic Armor for Colonoscopic Continuum Robot Enhanced by Triboelectric Artificial Synapse.","Colonoscopic continuum robots often lack sensing capabilities, risking tissue damage. An ideal robot electronic skin should offer full-body coverage, multiplexing, stretchability, and multifunctionality, but integration is challenging due to the robot's elongated structure. This work presents a stretchable electronic armor (E-armor) with a 3D crosslinked structure that enables 300 mm full coverage while accomplishing multiplexed simultaneous tactile and strain sensing through bioinspired artificial synapse mechanisms. The E-armor integrates 48 tactile sensing points through bilayer co-electrode strategy, reducing wiring while combining triboelectric encoding intelligence with innovative stretchable triboelectric interlinked films (TIFs) to form a triboelectric artificial synapse that generates digitally encoded signal pairs upon contact. A convolutional neural network and long short-term memory network (CNN-LSTM) deep learning framework achieve 99.31% accuracy in identifying multi-point tactile signals. A sodium alginate/polyacrylamide/sodium chloride (SA/PAM/NaCl) conductive hydrogel serves as a strain sensing element, providing excellent stretchability and biocompatibility, and allowing precise inference of bending angles at 12 strain sensing edges. A compliance control strategy coordinates tactile and strain signals to autonomously adjust continuum robot postures while ensuring smooth operation. The digital twin-based 3D visualization interface enhances human-robot interaction by digitally reconstructing both tactile and strain feedback, enabling real-time visualization of the continuum robot's intracolonic posture."
8,A3_sensors,35445206,PMC9013843,10.3389/fdgth.2022.874208,2022,Frontiers in digital health,research-article; Journal Article,Predicting Severity of Huntington's Disease With Wearable Sensors.,"The Unified Huntington's Disease Rating Scale (UHDRS) is the primary clinical assessment tool for rating motor function in patients with Huntington's disease (HD). However, the UHDRS and similar rating scales (e.g., UPDRS) are both subjective and limited to in-office assessments that must be administered by a trained and experienced rater. An objective, automated method of quantifying disease severity would facilitate superior patient care and could be used to better track severity over time. We conducted the present study to evaluate the feasibility of using wearable sensors, coupled with machine learning algorithms, to rate motor function in patients with HD. Fourteen participants with symptomatic HD and 14 healthy controls participated in the study. Each participant wore five adhesive biometric sensors applied to the trunk and each limb while completing brief walking, sitting, and standing tasks during a single office visit. A two-stage machine learning method was employed to classify participants by HD status and to predict UHDRS motor subscores. Linear discriminant analysis correctly classified all participants' HD status except for one control subject with abnormal gait (96.4% accuracy, 92.9% sensitivity, and 100% specificity in leave-one-out cross-validation). Two regression models accurately predicted individual UHDRS subscores for gait, and dystonia within a 10% margin of error. Our regression models also predicted a composite UHDRS score-a sum of left and right arm rigidity, total chorea, total dystonia, bradykinesia, gait, and tandem gait subscores-with an average error below 15%. Machine learning classifiers trained on brief in-office datasets discriminated between controls and participants with HD, and could accurately predict selected motor UHDRS subscores. Our results could enable the future use of biosensors for objective HD assessment in the clinic or remotely and could inform future studies for the use of this technology as a potential endpoint in clinical trials."
9,A3_sensors,37850105,PMC10578443,10.3389/fpsyt.2023.1231024,2023,Frontiers in psychiatry,research-article; Journal Article,Predicting obsessive-compulsive disorder episodes in adolescents using a wearable biosensor-A wrist angel feasibility study.,"IntroductionObsessive-compulsive disorders (OCD) are marked by distress, negative emotions, mental processes and behaviors that are reflected in physiological signals such as heart rate, electrodermal activity, and skin temperature. Continuous monitoring of physiological signals associated with OCD symptoms may make measures of OCD more objective and facilitate close monitoring of prodromal symptoms, treatment progress and risk of relapse. Thus, we explored the feasibility of capturing OCD events in the real world using an unobtrusive wrist worn biosensor and machine learning models.MethodsNine adolescents (ages 10-17 years) with mild to moderate-severe OCD were recruited from child and adolescent mental health services. Participants were asked to wear the biosensor in the lab during conditions of rest and exposure to OCD symptom-triggering stimuli and for up to 8 weeks in their everyday lives and register OCD events. We explored the relationships among physiological data, registered OCD events, age, OCD symptom severity and symptom types. In the machine learning models, we considered detection of OCD events as a binary classification problem. A nested cross-validation strategy with either random 10-folds, leave-one-subject-out, or leave-week(s)-out in both layers was used. We compared the performance of four models: logistic regression, random forest (RF), feedforward neural networks, and mixed-effect random forest (MERF). To explore the ability of the models to detect OCD events in new patients, we assessed the performance of participant-based generalized models. To explore the ability of models to detect OCD events in future, unseen data from the same patients, we compared the performance of temporal generalized models trained on multiple patients with personalized models trained on single patients.ResultsEight of the nine participants collected biosensor signals totaling 2, 405 h and registered 1, 639 OCD events. Better performance was obtained when generalizing across time compared to across patients. Generalized temporal models trained on multiple patients were found to perform better than personalized models trained on single patients. RF and MERF models outperformed the other models in terms of accuracy in all cross-validation strategies, reaching 70% accuracy in random and participant cross-validation.ConclusionOur pilot results suggest that it is possible to detect OCD episodes in the everyday lives of adolescents using physiological signals captured with a wearable biosensor. Large scale studies are needed to train and test models capable of detecting and predicting episodes.Clinical trial registrationClinicalTrials.gov: NCT05064527, registered October 1, 2021."
10,A3_sensors,39859920,PMC11766870,10.3390/ma18020449,2025,"Materials (Basel, Switzerland)",research-article; Journal Article,Impact Damage Localization in Composite Structures Using Data-Driven Machine Learning Methods.,"Due to the uncertainty of material properties of plate-like structures, many traditional methods are unable to locate the impact source on their surface in real time. It is important to study the impact source-localization problem for plate structures. In this paper, a data-driven machine learning method is proposed to detect impact sources in plate-like structures and its effectiveness is tested on three plate-like structures with different material properties. In order to collect data on the localization of the impact source, four piezoelectric transducers and an oscilloscope were utilized to construct an experimental platform for impulse response testing. Meanwhile, the position of the impact source on the surface of the test plate is generated by manually releasing the steel ball. The eigenvalue of arrival time in the time domain signal is extracted to build data sets for machine learning. This paper uses the Back Propagation (BP) neural network to learn the difference in the arrival time of each sensor and predict the location of the impact source. The results demonstrate that the machine learning method proposed in this paper can predict the location of the impact source in the plate-like structure without relying on the material properties, with high test accuracy and robustness. The research work in this paper can provide experimental methods and testing techniques for locating impact damage in composite material structures."
