rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A2_property,40680606,PMC12296543,10.1016/j.ultsonch.2025.107464,2025,Ultrasonics sonochemistry,research-article; Journal Article,Preparation of aspirin inhalable powder by ultrasound-intensified anti-solvent crystallization for pulmonary drug delivery.,"Aspirin is an antiplatelet agglutinating drug used clinically for the prevention and treatment of angina pectoris, myocardial infarction, and cerebral thrombosis. In this study, aspirin inhalable powder was prepared by ultrasound-intensified anti-solvent crystallization (UIAC) and developed for rapid antiplatelet aggregation, which could reduce the dose and gastrointestinal irritation. The particle size distribution, morphology, density, fluidity, and in vitro aerodynamic performance of the as-prepared powders were systematically evaluated. Meanwhile, machine learning methodology, specifically utilizing the Decision Tree Regressor in conjunction with Shapley Value analysis, was applied to elucidate the influence of critical process parameters within the production process. The powder flowability could be improved by the addition of excipients L150 and L-leucine (Leu). The value of fine particle fraction (FPF) increased from 10.40 % to 45.86 % when adding L150 (60 %, w/w) and Leu (5 %, w/w). The cytotoxicity study of aspirin inhalable powder was performed at cellular level, and demonstrated aspirin powder had no significant toxic effect. The Calu-3 cell monolayer interfaced to simulate lung epithelial tissue, demonstrated the high permeability of inhalable powder in lung. Pharmacokinetics were investigated in healthy rats, compared with oral administration, the Tmax of inhale administration (10 min) was significantly shorter than oral administration (30 min), and the AUC was 1.91 times higher than that of the oral administration, demonstrating that pulmonary drug delivery accelerated the absorption and increased the bioavailability of aspirin."
2,A2_property,41259983,PMC12666576,10.1016/j.ultsonch.2025.107682,2025,Ultrasonics sonochemistry,research-article; Journal Article,"Eco-friendly production of AgNPs by ultrasound-intensified continuous method, and process evaluation via life cycle assessment and machine learning.","Owing to their excellent biocompatibility and antibacterial properties, the global annual production of silver nanoparticles (AgNPs) is estimated at 400-800 tons. Therefore, developing a green and safe approach for AgNPs synthesis is urgently required. However, the conventional AgNPs manufacturing methods required toxic reductant and higher energy consumption, which makes the reaction system harmful to humans and environment. In this study, an eco-friendly ultrasound-intensified continuous system employing minimal toxic reagents was developed. The AgNPs formation process was intensified by cavitation instead of using toxic and strong reductants. Several analytical methods were conducted to systematically investigate the mechanism and performance of as-synthesized AgNPs, such as particle size distribution, zeta potential, UV-visible absorption, morphology, yield calculation, as well as in vitro photothermal, and antibacterial. The results clearly indicated that the physicochemical properties of AgNPs could be tuned by adjusting process parameters, including temperature, feeding rate, and ultrasonic power. Specifically, the AgNPs prepared at 90 ℃, 600 W and 50 µL/min exhibited smaller size (2-5 nm) with monodisperse, spherical shape, higher yield, enhanced photothermal, and antibacterial activities. Furthermore, life-cycle assessment (LCA) and machine learning (ML) were employed to evaluate the process sustainability and identify the key influencing parameters. Comprehensive consideration of safety, experimental results, and LCA outcomes demonstrated that the ultrasound-intensified continuous method proposed in this study is superior to the traditional NaBH4-based batch synthesis at the laboratory scale."
3,A2_property,35884839,PMC9313127,10.3390/biomedicines10071534,2022,Biomedicines,research-article; Journal Article,Optogenetically Engineered Neurons Differentiated from Human SH-SY5Y Cells Survived and Expressed ChR2 in 3D Hydrogel.,"The cases of brain degenerative disease will rise as the human population ages. Current treatments have a transient effect and lack an investigative system that is physiologically relevant for testing. There is evidence suggesting optogenetic stimulation is a potential strategy; however, an in vitro disease and optogenetic model requires a three-dimensional microenvironment. Alginate is a promising material for tissue and optogenetic engineering. Although it is bioinert, alginate hydrogel is transparent and therefore allows optical penetration for stimulation. In this study, alginate was functionalized with arginine-glycine-aspartate acid (RGD) to serve as a 3D platform for encapsulation of human SH-SY5Y cells, which were optogenetically modified and characterized. The RGD-alginate hydrogels were tested for swelling and degradation. Prior to encapsulation, the cells were assessed for neuronal expression and optical-stimulation response. The results showed that RGD-alginate possessed a consistent swelling ratio of 18% on day 7, and degradation remained between 3.7−5% throughout 14 days. Optogenetically modified SH-SY5Y cells were highly viable (>85%) after lentiviral transduction and neuronal differentiation. The cells demonstrated properties of functional neurons, developing beta III tubulin (TuJ1)-positive long neurites, forming neural networks, and expressing vGlut2. Action potentials were produced upon optical stimulation. The neurons derived from human SH-SY5Y cells were successfully genetically modified and encapsulated; they survived and expressed ChR2 in an RGD-alginate hydrogel system."
4,A2_property,38774585,PMC11106676,10.3762/bjnano.15.47,2024,Beilstein journal of nanotechnology,research-article; Journal Article,On the additive artificial intelligence-based discovery of nanoparticle neurodegenerative disease drug delivery systems.,"Neurodegenerative diseases are characterized by slowly progressing neuronal cell death. Conventional drug treatment strategies often fail because of poor solubility, low bioavailability, and the inability of the drugs to effectively cross the blood-brain barrier. Therefore, the development of new neurodegenerative disease drugs (NDDs) requires immediate attention. Nanoparticle (NP) systems are of increasing interest for transporting NDDs to the central nervous system. However, discovering effective nanoparticle neuronal disease drug delivery systems (N2D3Ss) is challenging because of the vast number of combinations of NP and NDD compounds, as well as the various assays involved. Artificial intelligence/machine learning (AI/ML) algorithms have the potential to accelerate this process by predicting the most promising NDD and NP candidates for assaying. Nevertheless, the relatively limited amount of reported data on N2D3S activity compared to assayed NDDs makes AI/ML analysis challenging. In this work, the IFPTML technique, which combines information fusion (IF), perturbation theory (PT), and machine learning (ML), was employed to address this challenge. Initially, we conducted the fusion into a unified dataset comprising 4403 NDD assays from ChEMBL and 260 NP cytotoxicity assays from journal articles. Through a resampling process, three new working datasets were generated, each containing 500,000 cases. We utilized linear discriminant analysis (LDA) along with artificial neural network (ANN) algorithms, such as multilayer perceptron (MLP) and deep learning networks (DLN), to construct linear and non-linear IFPTML models. The IFPTML-LDA models exhibited sensitivity (Sn) and specificity (Sp) values in the range of 70% to 73% (>375,000 training cases) and 70% to 80% (>125,000 validation cases), respectively. In contrast, the IFPTML-MLP and IFPTML-DLN achieved Sn and Sp values in the range of 85% to 86% for both training and validation series. Additionally, IFPTML-ANN models showed an area under the receiver operating curve (AUROC) of approximately 0.93 to 0.95. These results indicate that the IFPTML models could serve as valuable tools in the design of drug delivery systems for neurosciences."
5,A2_property,36161946,PMC9546622,10.1073/pnas.2209524119,2022,Proceedings of the National Academy of Sciences of the United States of America,"Research Support, Non-U.S. Gov't; research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article; Research Support, N.I.H., Extramural","Discovering design principles of collagen molecular stability using a genetic algorithm, deep learning, and experimental validation.","Collagen is the most abundant structural protein in humans, providing crucial mechanical properties, including high strength and toughness, in tissues. Collagen-based biomaterials are, therefore, used for tissue repair and regeneration. Utilizing collagen effectively during materials processing ex vivo and subsequent function in vivo requires stability over wide temperature ranges to avoid denaturation and loss of structure, measured as melting temperature (Tm). Although significant research has been conducted on understanding how collagen primary amino acid sequences correspond to Tm values, a robust framework to facilitate the design of collagen sequences with specific Tm remains a challenge. Here, we develop a general model using a genetic algorithm within a deep learning framework to design collagen sequences with specific Tm values. We report 1,000 de novo collagen sequences, and we show that we can efficiently use this model to generate collagen sequences and verify their Tm values using both experimental and computational methods. We find that the model accurately predicts Tm values within a few degrees centigrade. Further, using this model, we conduct a high-throughput study to identify the most frequently occurring collagen triplets that can be directly incorporated into collagen. We further discovered that the number of hydrogen bonds within collagen calculated with molecular dynamics (MD) is directly correlated to the experimental measurement of triple-helical quality. Ultimately, we see this work as a critical step to helping researchers develop collagen sequences with specific Tm values for intended materials manufacturing methods and biomedical applications, realizing a mechanistic materials by design paradigm."
6,A2_property,38520708,PMC11165469,10.1002/advs.202310141,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",research-article; Journal Article,Mechanical Field Guiding Structure Design Strategy for Meta-Fiber Reinforced Hydrogel Composites by Deep Learning.,"Fiber-reinforced hydrogel composites are widely employed in many engineering applications, such as drug release, and flexible electronics, with more flexible mechanical properties than pure hydrogel materials. Comparing to the hydrogel strengthened by continuous fiber, the meta-fiber reinforced hydrogel provides stronger individualized design ability of deformation patterns and tunable stiffness, especially for the elaborate applications in joint, cartilage, and organ. In this paper, a novel structure design strategy based on deep learning algorithm is proposed for hydrogel reinforced by meta-fiber to achieve targeted mechanical properties, such as stress and displacement fields. A solid mechanic model for meta-fiber reinforced hydrogel is first developed to construct the dataset of fiber distribution and the corresponding mechanical properties of the composite. Generative adversarial network (GAN) is then trained to characterize the relationship between stress or displacement field, and meta-fiber distribution. The well-trained GAN is implemented to design meta-fiber reinforced hydrogel composite structure under specific operation conditions. The results show that the deep learning method may efficiently predict the structure of the hydrogel composite with satisfied confidence, and has great potential for applications in drug delivery and flexible electronics."
7,A2_property,37012266,PMC10070414,10.1038/s41598-023-31677-7,2023,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article",Machine learning unifies flexibility and efficiency of spinodal structure generation for stochastic biomaterial design.,"Porous biomaterials design for bone repair is still largely limited to regular structures (e.g. rod-based lattices), due to their easy parameterization and high controllability. The capability of designing stochastic structure can redefine the boundary of our explorable structure-property space for synthesizing next-generation biomaterials. We hereby propose a convolutional neural network (CNN) approach for efficient generation and design of spinodal structure-an intriguing structure with stochastic yet interconnected, smooth, and constant pore channel conducive to bio-transport. Our CNN-based approach simultaneously possesses the tremendous flexibility of physics-based model in generating various spinodal structures (e.g. periodic, anisotropic, gradient, and arbitrarily large ones) and comparable computational efficiency to mathematical approximation model. We thus successfully design spinodal bone structures with target anisotropic elasticity via high-throughput screening, and directly generate large spinodal orthopedic implants with desired gradient porosity. This work significantly advances stochastic biomaterials development by offering an optimal solution to spinodal structure generation and design."
8,A2_property,40594227,PMC12216472,10.1038/s41598-025-06227-y,2025,Scientific reports,research-article; Journal Article,Implementing partial least squares and machine learning regressive models for prediction of drug release in targeted drug delivery application.,"A combined methodology was performed based on chemometrics and machine learning regressive models in estimation of polysaccharide-coated colonic drug delivery. The release of medication was measured using Raman spectroscopy and the data was used for estimation of drug delivery using machine learning models. Raman data was used along with some inputs including coating type, medium, and release time to estimate the drug release as the sole target. The study explores predictive modeling for the release variable in a dataset including 155 samples with over 1500 spectral variables. Partial least squares (PLS) was applied for dimensionality reduction, and models such as AdaBoost with linear regression, multilayer perceptron (MLP), and Theil-Sen regression were utilized, achieving the highest predictive performance with the AdaBoost-MLP model (R2 = 0.994, MSE = 0.000368). Uniquely, this work integrates glowworm swarm optimization (GSO) for model hyperparameter tuning, enhancing model accuracy and efficiency. The results suggest that spectral characteristics combined with environmental and compositional factors provide a comprehensive foundation for modeling release dynamics in evaluation of targeted colonic delivery formulations."
9,A2_property,35566970,PMC9104973,10.3390/polym14091802,2022,Polymers,research-article; Journal Article,Accelerated Discovery of the Polymer Blends for Cartilage Repair through Data-Mining Tools and Machine-Learning Algorithm.,"In designing successful cartilage substitutes, the selection of scaffold materials plays a central role, among several other important factors. In an empirical approach, the selection of the most appropriate polymer(s) for cartilage repair is an expensive and time-consuming affair, as traditionally it requires numerous trials. Moreover, it is humanly impossible to go through the huge library of literature available on the potential polymer(s) and to correlate the physical, mechanical, and biological properties that might be suitable for cartilage tissue engineering. Hence, the objective of this study is to implement an inverse design approach to predict the best polymer(s)/blend(s) for cartilage repair by using a machine-learning algorithm (i.e., multinomial logistic regression (MNLR)). Initially, a systematic bibliometric analysis on cartilage repair has been performed by using the bibliometrix package in the R program. Then, the database was created by extracting the mechanical properties of the most frequently used polymers/blends from the PoLyInfo library by using data-mining tools. Then, an MNLR algorithm was run by using the mechanical properties of the polymers, which are similar to the cartilages, as the input and the polymer(s)/blends as the predicted output. The MNLR algorithm used in this study predicts polyethylene/polyethylene-graftpoly(maleic anhydride) blend as the best candidate for cartilage repair."
10,A2_property,39792782,PMC11884566,10.1002/advs.202415902,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",research-article; Journal Article,"Machine Learning-Driven Prediction, Preparation, and Evaluation of Functional Nanomedicines Via Drug-Drug Self-Assembly.","Small molecules as nanomedicine carriers offer advantages in drug loading and preparation. Selecting effective small molecules for stable nanomedicines is challenging. This study used artificial intelligence (AI) to screen drug combinations for self-assembling nanomedicines, employing physiochemical parameters to predict formation via machine learning. Non-Steroidal Anti-Inflammatory Drugs (NSAIDs) are identified as effective carriers for antineoplastic drugs, with high drug loading. Nanomedicines, PEG-coated indomethacin/paclitaxel nanomedicine (PiPTX), and laminarin-modified indomethacin/paclitaxel nanomedicine (LiDOX), are developed with extended circulation and active targeting functions. Indomethacin/paclitaxel nanomedicine iDOX exhibits pH-responsive drug release in the tumor microenvironment. These nanomedicines enhance anti-tumor effects and reduce side effects, offering a rapid approach to clinical nanomedicine development."
