rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A4_tissue,38333615,PMC10850738,10.1016/j.bioactmat.2024.01.012,2024,Bioactive materials,research-article; Journal Article,Construction of functional neural network tissue combining CBD-NT3-modified linear-ordered collagen scaffold and TrkC-modified iPSC-derived neural stem cells for spinal cord injury repair.,"Induced pluripotent stem cells (iPSCs) can be personalized and differentiated into neural stem cells (NSCs), thereby effectively providing a source of transplanted cells for spinal cord injury (SCI). To further improve the repair efficiency of SCI, we designed a functional neural network tissue based on TrkC-modified iPSC-derived NSCs and a CBD-NT3-modified linear-ordered collagen scaffold (LOCS). We confirmed that transplantation of this tissue regenerated neurons and synapses, improved the microenvironment of the injured area, enhanced remodeling of the extracellular matrix, and promoted functional recovery of the hind limbs in a rat SCI model with complete transection. RNA sequencing and metabolomic analyses also confirmed the repair effect of this tissue from multiple perspectives and revealed its potential mechanism for treating SCI. Together, we constructed a functional neural network tissue using human iPSCs-derived NSCs as seed cells based on the interaction of receptors and ligands for the first time. This tissue can effectively improve the therapeutic effect of SCI, thus confirming the feasibility of human iPSCs-derived NSCs and LOCS for SCI repair and providing a valuable direction for SCI research."
2,A4_tissue,40335689,PMC12158774,10.1038/s41586-025-08985-1,2025,Nature,research-article; Journal Article,Light-microscopy-based connectomic reconstruction of mammalian brain tissue.,"The information-processing capability of the brain's cellular network depends on the physical wiring pattern between neurons and their molecular and functional characteristics. Mapping neurons and resolving their individual synaptic connections can be achieved by volumetric imaging at nanoscale resolution1,2 with dense cellular labelling. Light microscopy is uniquely positioned to visualize specific molecules, but dense, synapse-level circuit reconstruction by light microscopy has been out of reach, owing to limitations in resolution, contrast and volumetric imaging capability. Here we describe light-microscopy-based connectomics (LICONN). We integrated specifically engineered hydrogel embedding and expansion with comprehensive deep-learning-based segmentation and analysis of connectivity, thereby directly incorporating molecular information into synapse-level reconstructions of brain tissue. LICONN will allow synapse-level phenotyping of brain tissue in biological experiments in a readily adoptable manner."
3,A4_tissue,40657048,PMC12251101,10.1109/ojemb.2025.3562382,2025,IEEE open journal of engineering in medicine and biology,research-article; Journal Article,Biomimetic Chitosan-Based Hydrogels for Sustainable Wound Healing With AI/ML Insights.,"Wound healing process is associated with multifaceted complications and is a functional way to advance the therapeutic process. Polymeric biomaterials exhibit structural mimicry with the extracellular matrix of the tissue to be regenerated and they also avoid chronic inflammation and immunological responses. Chitosan, a biopolymer demonstrates exceptional healing properties because of its biocompatibility, biodegradability, antimicrobial nature and affinity for biomolecules. Biomaterials consisting of chitosan along with herbal extracts could be ideal for wound healing. Click chemistry can provide one of the best ways to combine these bio-actives with chitosan. Advancing wound healing strategies with artificial intelligence /machine learning approaches can be employed further to boost the clinical efficacies of bioactive-loaded chitosan composite hydrogels. This review article investigates functionalized wound dressings with special emphasis on chitosan-based hydrogels, their effects on wound healing, and advanced approaches to increase hydrogel benefits by adding bioactive substances to form nanocomposites."
4,A4_tissue,36416374,PMC10107930,10.1111/his.14846,2023,Histopathology,research-article; Journal Article,Myelofibrosis progression grading based on type I and type III collagen and fibrillin 1 expression boosted by whole slide image analysis.,"AimsThe progression of primary myelofibrosis is characterised by ongoing extracellular matrix deposition graded based on 'reticulin' and 'collagen' fibrosis, as revealed by Gomori's silver impregnation. Here we studied the expression of the major extracellular matrix proteins of fibrosis in relation to diagnostic silver grading supported by image analysis.Methods and resultsBy using automated immunohistochemistry, in this study we demonstrate that the expression of both types I and III collagens and fibrillin 1 by bone marrow stromal cells can reveal the extracellular matrix scaffolding in line with myelofibrosis progression as classified by silver grading. 'Reticulin' fibrosis indicated by type III collagen expression and 'collagen' fibrosis featured by type I collagen expression were parallel, rather than sequential, events. This is line with the proposed role of type III collagen in regulating type I collagen fibrillogenesis. The uniformly strong fibrillin 1 immune signals offered the best inter-rater agreements and the highest statistical correlations with silver grading of the three markers, which was robustly confirmed by automated whole slide digital image analysis using a machine learning-based algorithm. The progressive up-regulation of fibrillin 1 during myelofibrosis may result from a negative feedback loop as fibrillin microfibrils sequester TGF-β, the major promoter of fibrosis. This can also reduce TGF-β-induced RANKL levels, which would stimulate osteoclastogenesis and thus can support osteosclerosis in advanced myelofibrosis.ConclusionsThrough the in-situ detection of these extracellular matrix proteins, our results verify the molecular pathobiology of fibrosis during myelofibrosis progression. In particular, fibrillin 1 immunohistochemistry, with or without image analysis, can complement diagnostic silver grading at decent cell morphology."
5,A4_tissue,38510171,PMC10951922,10.1017/s2633903x23000247,2023,Biological imaging,research-article; Journal Article,A spatial statistical framework for the parametric study of fiber networks: Application to fibronectin deposition by normal and activated fibroblasts.,"Due to the complex architectural diversity of biological networks, there is an increasing need to complement statistical analyses with a qualitative and local description of their spatial properties. One such network is the extracellular matrix (ECM), a biological scaffold for which changes in its spatial organization significantly impact tissue functions in health and disease. Quantifying variations in the fibrillar architecture of major ECM proteins should considerably advance our understanding of the link between tissue structure and function. Inspired by the analysis of functional magnetic resonance imaging (fMRI) images, we propose a novel statistical analysis approach embedded into a machine learning paradigm, to measure and detect local variations of meaningful ECM parameters. We show that parametric maps representing fiber length and pore directionality can be analyzed within the proposed framework to differentiate among various tissue states. The parametric maps are derived from graph-based representations that reflect the network architecture of fibronectin (FN) fibers in a normal, or disease-mimicking in vitro setting. Such tools can potentially lead to a better characterization of dynamic matrix networks within fibrotic tumor microenvironments and contribute to the development of better imaging modalities for monitoring their remodeling and normalization following therapeutic intervention."
6,A4_tissue,40395497,PMC12082301,10.1016/j.mbm.2024.100083,2024,Mechanobiology in medicine,discussion; Journal Article,From sequence to mechanobiology? Promises and challenges for AlphaFold 3.,"Interactions between macromolecules orchestrate many mechanobiology processes. However, progress in the field has often been hindered by the monetary and time costs of obtaining reliable experimental structures. In recent years, deep-learning methods, such as AlphaFold, have democratized access to high-quality predictions of the structural properties of proteins and other macromolecules. The newest implementation, AlphaFold 3, significantly expands the applications of its predecessor, AlphaFold 2, by incorporating reliable models for small molecules and nucleic acids and enhancing the prediction of macromolecular complexes. While several limitations still exist, the continuous improvement of machine learning methods like AlphaFold is producing a significant revolution in the field. The possibility of easily accessing structural predictions of biomolecular complexes may create substantial impacts in mechanobiology. Indeed, structural studies are at the basis of several applications in the field, such as drug discovery for mechanosensing proteins, development of mechanotherapy, understanding the mechanotransduction mechanisms and the mechanistic basis of diseases, or designing biomaterials for tissue engineering."
7,A4_tissue,35124896,PMC11468966,10.1002/adhm.202102508,2022,Advanced healthcare materials,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Sublingual Boosting with a Novel Mucoadhesive Thermogelling Hydrogel Following Parenteral CAF01 Priming as a Strategy Against Chlamydia trachomatis.,"Chlamydia trachomatis is the most prevalent sexually transmitted disease of bacterial origin. The high number of asymptomatic cases makes it difficult to stop the transmission, requiring vaccine development. Herein, a strategy is proposed to obtain local genital tract immunity against C. trachomatis through parenteral prime and sublingual boost. Subcutaneous administration of chlamydia CTH522 subunit vaccine loaded in the adjuvant CAF01 is combined with sublingual administration of CTH522 loaded in a novel thermosensitive and mucoadhesive hydrogel. Briefly, a ternary optimized hydrogel (OGEL) with desirable biological and physicochemical properties is obtained using artificial intelligence techniques. This formulation exhibits a high gel strength and a strong mucoadhesive, adhesive and cohesive nature. The thermosensitive properties of the hydrogel facilitate application under the tongue. Meanwhile the fast gelation at body temperature together with rapid antigen release should avoid CTH522 leakage by swallowing and increase the contact with sublingual tissue, thus promoting absorption. In vivo studies demonstrate that parenteral-sublingual prime-boost immunization, using CAF01 and OGEL as CTH522 vaccine carriers, shows a tendency to increase cellular (Th1/Th17) immune responses when compared to mucosal or parenteral vaccination alone. Furthermore, parenteral prime with CAF01/CTH522 followed by sublingual boosting with OGEL/CTH522 elicits a local IgA response in the genital tract."
8,A4_tissue,38732656,PMC11085928,10.3390/polym16091187,2024,Polymers,research-article; Journal Article,Deep Learning for Cell Migration in Nonwoven Materials and Evaluating Gene Transfer Effects following AAV6-ND4 Transduction.,"Studying cell settlement in the three-dimensional structure of synthetic biomaterials over time is of great interest in research and clinical translation for the development of artificial tissues and organs. Tracking cells as physical objects improves our understanding of the processes of migration, homing, and cell division during colonisation of the artificial environment. In this study, the 3D environment had a direct effect on the behaviour of biological objects. Recently, deep learning-based algorithms have shown significant benefits for cell segmentation tasks and, furthermore, for biomaterial design optimisation. We analysed the primary LHON fibroblasts in an artificial 3D environment after adeno-associated virus transduction. Application of these tools to model cell homing in biomaterials and to monitor cell morphology, migration and proliferation indirectly demonstrated restoration of the normal cell phenotype after gene manipulation by AAV transduction. Following the 3Rs principles of reducing the use of living organisms in research, modeling the formation of tissues and organs by reconstructing the behaviour of different cell types on artificial materials facilitates drug testing, the study of inherited and inflammatory diseases, and wound healing. These studies on the composition and algorithms for creating biomaterials to model the formation of cell layers were inspired by the principles of biomimicry."
9,A4_tissue,37012266,PMC10070414,10.1038/s41598-023-31677-7,2023,Scientific reports,"Research Support, Non-U.S. Gov't; research-article; Research Support, U.S. Gov't, Non-P.H.S.; Journal Article",Machine learning unifies flexibility and efficiency of spinodal structure generation for stochastic biomaterial design.,"Porous biomaterials design for bone repair is still largely limited to regular structures (e.g. rod-based lattices), due to their easy parameterization and high controllability. The capability of designing stochastic structure can redefine the boundary of our explorable structure-property space for synthesizing next-generation biomaterials. We hereby propose a convolutional neural network (CNN) approach for efficient generation and design of spinodal structure-an intriguing structure with stochastic yet interconnected, smooth, and constant pore channel conducive to bio-transport. Our CNN-based approach simultaneously possesses the tremendous flexibility of physics-based model in generating various spinodal structures (e.g. periodic, anisotropic, gradient, and arbitrarily large ones) and comparable computational efficiency to mathematical approximation model. We thus successfully design spinodal bone structures with target anisotropic elasticity via high-throughput screening, and directly generate large spinodal orthopedic implants with desired gradient porosity. This work significantly advances stochastic biomaterials development by offering an optimal solution to spinodal structure generation and design."
10,A4_tissue,37006302,PMC10050687,10.3389/fimmu.2023.1127879,2023,Frontiers in immunology,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Establishing a human bone marrow single cell reference atlas to study ageing and diseases.,"IntroductionAgeing in the human bone marrow is associated with immune function decline that results in the elderly being vulnerable to illnesses. A comprehensive healthy bone marrow consensus atlas can serve as a reference to study the immunological changes associated with ageing, and to identify and study abnormal cell states.MethodsWe collected publicly available single cell transcriptomic data of 145 healthy samples encompassing a wide spectrum of ages ranging from 2 to 84 years old to construct our human bone marrow atlas. The final atlas has 673,750 cells and 54 annotated cell types.ResultsWe first characterised the changes in cell population sizes with respect to age and the corresponding changes in gene expression and pathways. Overall, we found significant age-associated changes in the lymphoid lineage cells. The naïve CD8+ T cell population showed significant shrinkage with ageing while the effector/memory CD4+ T cells increased in proportion. We also found an age-correlated decline in the common lymphoid progenitor population, in line with the commonly observed myeloid skew in haematopoiesis among the elderly. We then employed our cell type-specific ageing gene signatures to develop a machine learning model that predicts the biological age of bone marrow samples, which we then applied to healthy individuals and those with blood diseases. Finally, we demonstrated how to identify abnormal cell states by mapping disease samples onto the atlas. We accurately identified abnormal plasma cells and erythroblasts in multiple myeloma samples, and abnormal cells in acute myeloid leukaemia samples.DiscussionThe bone marrow is the site of haematopoiesis, a highly important bodily process. We believe that our healthy bone marrow atlas is a valuable reference for studying bone marrow processes and bone marrow-related diseases. It can be mined for novel discoveries, as well as serve as a reference scaffold for mapping samples to identify and investigate abnormal cells."
