rank,area,epmc_id,pmcid,doi,year,journal,pub_types,title,abstract
1,A5_autonomous,38534124,PMC11009904,10.1021/acsami.4c00759,2024,ACS applied materials & interfaces,research-article; Journal Article,Machine-Guided Discovery of Acrylate Photopolymer Compositions.,"Additive manufacturing (AM) can be advanced by the diverse characteristics offered by thermoplastic and thermoset polymers and the further benefits of copolymerization. However, the availability of suitable polymeric materials for AM is limited and may not always be ideal for specific applications. Additionally, the extensive number of potential monomers and their combinations make experimental determination of resin compositions extremely time-consuming and costly. To overcome these challenges, we develop an active learning (AL) approach to effectively choose compositions in a ternary monomer space ranging from rigid to elastomeric. Our AL algorithm dynamically suggests monomer composition ratios for the subsequent round of testing, allowing us to efficiently build a robust machine learning (ML) model capable of predicting polymer properties, including Young's modulus, peak stress, ultimate strain, and Shore A hardness based on composition while minimizing the number of experiments. As a demonstration of the effectiveness of our approach, we use the ML model to drive material selection for a specific property, namely, Young's modulus. The results indicate that the ML model can be used to select material compositions within at least 10% of a targeted value of Young's modulus. We then use the materials designed by the ML model to 3D print a multimaterial ""hand"" with soft ""skin"" and rigid ""bones"". This work presents a promising tool for enabling informed AM material selection tailored to user specifications and accelerating material discovery using a limited monomer space."
2,A5_autonomous,36329705,PMC9622803,10.3389/fbioe.2022.959335,2022,Frontiers in bioengineering and biotechnology,research-article; Journal Article,The CaT stretcher: An open-source system for delivering uniaxial strain to cells and tissues (CaT).,"Integration of mechanical cues in conventional 2D or 3D cell culture platforms is an important consideration for in vivo and ex vivo models of lung health and disease. Available commercial and published custom-made devices are frequently limited in breadth of applications, scalability, and customization. Herein we present a technical report on an open-source, cell and tissue (CaT) stretcher, with modularity for different in vitro and ex vivo systems, that includes the following features: 1) Programmability for modeling different breathing patterns, 2) scalability to support low to high-throughput experimentation, and 3) modularity for submerged cell culture, organ-on-chips, hydrogels, and live tissues. The strategy for connecting the experimental cell or tissue samples to the stretching device were designed to ensure that traditional biomedical outcome measurements including, but not limited to microscopy, soluble mediator measurement, and gene and protein expression remained possible. Lastly, to increase the uptake of the device within the community, the system was built with economically feasible and available components. To accommodate diverse in vitro and ex vivo model systems we developed a variety of chips made of compliant polydimethylsiloxane (PDMS) and optimized coating strategies to increase cell adherence and viability during stretch. The CaT stretcher was validated for studying mechanotransduction pathways in lung cells and tissues, with an increase in alpha smooth muscle actin protein following stretch for 24 h observed in independent submerged monolayer, 3D hydrogel, and live lung tissue experiments. We anticipate that the open-source CaT stretcher design will increase accessibility to studies of the dynamic lung microenvironment through direct implementation by other research groups or custom iterations on our designs."
3,A5_autonomous,36017534,PMC9539360,10.1002/bit.28216,2022,Biotechnology and bioengineering,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Maximizing mRNA vaccine production with Bayesian optimization.,"Messenger RNA (mRNA) vaccines are a new alternative to conventional vaccines with a prominent role in infectious disease control. These vaccines are produced in in vitro transcription (IVT) reactions, catalyzed by RNA polymerase in cascade reactions. To ensure an efficient and cost-effective manufacturing process, essential for a large-scale production and effective vaccine supply chain, the IVT reaction needs to be optimized. IVT is a complex reaction that contains a large number of variables that can affect its outcome. Traditional optimization methods rely on classic Design of Experiments methods, which are time-consuming and can present human bias or based on simplified assumptions. In this contribution, we propose the use of Machine Learning approaches to perform a data-driven optimization of an mRNA IVT reaction. A Bayesian optimization method and model interpretability techniques were used to automate experiment design, providing a feedback loop. IVT reaction conditions were found under 60 optimization runs that produced 12 g · L-1 in solely 2 h. The results obtained outperform published industry standards and data reported in literature in terms of both achievable reaction yield and reduction of production time. Furthermore, this shows the potential of Bayesian optimization as a cost-effective optimization tool within (bio)chemical applications."
4,A5_autonomous,39863620,PMC11762284,10.1038/s41598-024-85040-5,2025,Scientific reports,research-article; Journal Article,Atmospheric air plasma pre-activation and customizable covalent functionalization of PVDF-membranes of microtiter filter plates.,"Microtiter-plate-based systems are unified platforms of high-throughput experimentation (HTE). These polymeric devices are used worldwide on a daily basis-mainly in the pharmaceutical industry-for parallel syntheses, reaction optimization, various preclinical studies and high-throughput screening methods. Accordingly, laboratory automation today aims to handle these commercially available multiwell plates, making developments focused on their modifications a priority area of modern applied research. We performed the covalent functionalization of the porous PVDF-membrane of microtiter filter plates as the essence of conventional and common sandwich plate systems by introducing a generalizable method. After surface-activation of the indifferent membrane polymer, customizable functionalization becomes feasible by covalently attached monofunctional molecular linkers. The study was designed with future adaptability, and thus, industrially widespread atmospheric plasma and two different chemical treatments were investigated and compared in terms of practical implementation, polarization effects, extent of labeling, effects on morphology and porosity as well as on permeability. For critical comparison, contact angle measurements, surface ATR-FTIR, 1H-NMR, 19F-NMR, UV-Vis spectroscopy, scanning electron microscopy and permeability tests were used."
5,A5_autonomous,36015950,PMC9414851,10.3390/s22166183,2022,"Sensors (Basel, Switzerland)",research-article; Journal Article,Microfluidic-Assisted Human Cancer Cells Culturing Platform for Space Biology Applications.,"In the paper, the lab-on-chip platform applicable for the long-term cultivation of human cancer cells, as a solution meeting the demands of the CubeSat biological missions, is presented. For the first time, the selected cancer cell lines-UM-UC-3 and RT 112 were cultured on-chip for up to 50 days. The investigation was carried out in stationary conditions (without medium microflow) in ambient temperature and utilizing the microflow perfusion system in the incubation chamber assuring typical cultivation atmosphere (37 °C). All the experiments were performed to imitate the conditions that are provided before the biological mission starts (waiting for the rocket launch) and when the actual experiment is initialized on a CubeSat board in space microgravity. The results of the tests showed appropriate performance of the lab-on-chip platform, especially in the context of material and technological biocompatibility. Cultured cells were characterized by adequate morphology-high attachment rate and visible signs of proliferation in each of the experimental stage. These results are a good basis for further tests of the lab-on-chip platform in both terrestrial and space conditions. At the end of the manuscript, the authors provide some considerations regarding a potential 3-Unit CubeSat biological mission launched with Virgin Orbit company. The lab-on-chip platform was modelled to fit a 2-Unit autonomous laboratory payload."
6,A5_autonomous,40860982,PMC12376025,10.1063/5.0271073,2025,APL machine learning,research-article; Journal Article,AutoSAS: A new human-aside-the-loop paradigm for automated SAS fitting for high throughput and autonomous experimentation.,"The advancement of artificial-intelligence driven autonomous experiments demands physics-based modeling and decision-making processes, not only to improve the accuracy of the experimental trajectory but also to increase trust by allowing transparent human-machine collaboration. High-quality structural characterization techniques (e.g., x ray, neutron, or static light scattering) are a particularly relevant example of this need: they provide invaluable information but are challenging to analyze without expert oversight. Here, we introduce AutoSAS, a novel framework for human-aside-the-loop automated data classification. AutoSAS leverages human-defined candidate models, high-throughput combinatorial fitting, and information-theoretic model selection to generate both classification results and quantitative structural descriptors. We implement AutoSAS in an open-source package designed for use with the Autonomous Formulation Laboratory for x-ray and neutron scattering-based optimization of multi-component liquid formulations. In a first application, we leveraged a set of expert defined candidate models to classify, refine the structure, and track transformations in a model injectable drug carrier system. We evaluated four model selection methods and benchmarked them against an optimized machine learning classifier, and the best approach was one that balanced quality of the fit and complexity of the model. AutoSAS not only corroborated the critical micelle concentration boundary identified in previous experiments but also discovered a second structural transition boundary not identified by the previous methods. These results demonstrate the potential of AutoSAS to enhance autonomous experimental workflows by providing robust, interpretable model selection, paving the way for more reliable and insightful structural characterization in complex formulations."
7,A5_autonomous,37872620,PMC10594909,10.1186/s40824-023-00430-6,2023,Biomaterials research,research-article; Journal Article,GM-CSF augmented the photothermal immunotherapeutic outcome of self-driving gold nanoparticles against a mouse CT-26 colon tumor model.,"BackgroundHypoxia is a frequent characteristic observed in solid tumors and is strongly associated with tumor metastasis, angiogenesis, and drug resistance. While the vasculature of hypoxic tumor tissues poses obstacles to the efficient administration of conventional drugs, it may prove advantageous in sustaining hyperthermia. Photothermal therapy (PTT) offers a promising treatment strategy that utilizes the activation of photosensitizers to produce heat, thus facilitating the selective ablation of tumor tissues.MethodTo enhance the accumulation of photothermal agents in tumor tissue and improve the effectiveness of PTT, we developed a self-propelled hybrid called Bif@PAu-NPs. This hybrid consists of polydopamine (PDA)-coated gold nanoparticles (Au-NPs) loaded onto the anaerobic Bifidobacterium infantis (Bif).ResultsThe Bif@PAu-NPs actively aggregated at the tumor site because the ability of Bif can target hypoxic regions, and PAu-NPs achieved precise PTT due to their high photothermal conversion efficiency (η = 67.8%). The tumor tissues were ablated by PTT, resulting in the release of antigens through immunogenic cell death (ICD), which stimulates an immune response. The inclusion of GM-CSF enhanced the immune response by recruiting dendritic cells and initiating long-term anti-tumor immunity.ConclusionThe Bif@PAu-NPs hybrid effectively suppressed the growth of both primary tumors and re-challenged tumors. The utilization Bif@PAu-NPs in conjunction with GM-SCF exhibits great potential as a photothermal-immunotherapeutic strategy for precisely treating solid tumors. In this study, the bacterial Bif@PAu-NPs biohybrid is exploited the self-driving ability of anaerobic Bifidobacterium infantis to deliver polydopamine-modified gold nanoparticles to hypoxic region of tumor. Under irradiation with 808 nm NIR laser, the hybrid exerts precise photothermal therapy to stimulate the immune response, which is further enhanced by GM-CSF, leading to recruitment of dendritic cells and initiation of a long-term anti-tumor immunity remember to prevent tumor recurrence."
8,A5_autonomous,38181073,PMC10775998,10.1126/sciadv.adj2448,2024,Science advances,"Research Support, Non-U.S. Gov't; research-article; Journal Article",Active learning of the thermodynamics-dynamics trade-off in protein condensates.,"Phase-separated biomolecular condensates exhibit a wide range of dynamic properties, which depend on the sequences of the constituent proteins and RNAs. However, it is unclear to what extent condensate dynamics can be tuned without also changing the thermodynamic properties that govern phase separation. Using coarse-grained simulations of intrinsically disordered proteins, we show that the dynamics and thermodynamics of homopolymer condensates are strongly correlated, with increased condensate stability being coincident with low mobilities and high viscosities. We then apply an ""active learning"" strategy to identify heteropolymer sequences that break this correlation. This data-driven approach and accompanying analysis reveal how heterogeneous amino acid compositions and nonuniform sequence patterning map to a range of independently tunable dynamic and thermodynamic properties of biomolecular condensates. Our results highlight key molecular determinants governing the physical properties of biomolecular condensates and establish design rules for the development of stimuli-responsive biomaterials."
9,A5_autonomous,37312805,PMC10259616,10.5195/jmla.2023.1529,2023,Journal of the Medical Library Association : JMLA,research-article; Randomized Controlled Trial; Journal Article,Effectiveness of a question formulation rubric with second-year medical students: a randomized controlled trial.,"ObjectiveThe FAC (Focus, Amplify, Compose) rubric for assessing medical students' question formulation skills normally accompanies our Evidence Based Practice (EBP) training. The combined training and assessment rubric have improved student scores significantly. How much does the rubric itself contribute to improved student scores? This study sought to measure student improvement using the rubric either with or without a linked 25-minute training session.MethodsRandomized Controlled Trial. The authors tested the hypothesis that a 25-minute training session combined with use of a rubric would lead to higher scores than a brief explanation of this rubric alone. All 72 participating second-year medical students had a question formulation rubric briefly explained to them following a pre-test. Students in the intervention groups were taught how to formulate EBP questions for 25 minutes using the rubric followed with another 30 minutes of EBP search training. Students in the control group only received the 30 minutes of EBP search training in their small group labs. All 72 students took the post-test in which they formulated a question in response to a clinical vignette. Statistical analysis to test the hypothesis consisted of a two-sample paired t-test to measure between-group differences.DiscussionBoth the intervention and control groups performed significantly better on the post-test for question formulation skills than on the pre-test. When analyzed by extent of individual improvement between pre- and post-tests using a two-sample paired t-test for between group differences, the control group students receiving only a brief explanation of the rubric performed the same statistically (intervention 37.7 versus 37.4 control) as the intervention group students who received the same brief explanation followed by a 25-minute active learning training session. Thus, the results provided no support of the hypothesis that the extra 25-minute training improved post-test scores. The rubric itself contributed similarly to the intervention groups students' improvement as the combined rubric and training for control group students. This finding could potentially save scarce curricular time.Key messagesThe FAC question formulation rubric and training significantly improves medical students' EBP question quality. The FAC rubric coupled with only a 5-minute explanation can be effective. In a crowded medical school curriculum, the rubric and brief explanation might save valued time for other purposes."
10,A5_autonomous,42746533,PMC13576497,10.1039/d5dd00171d,2025,Digital discovery,research-article; Journal Article,Efficient discovery of new medicine formulations using a semi-self-driven robotic formulator.,"We present the discovery of new medicine formulations using a semi-self-driven robotic formulator. Solubilising drugs is a significant challenge in the pharmaceutical industry, with the majority of active molecules in development for therapies being poorly soluble. The discovery of high solubility drug formulations, is a highly complex challenge involving the mixing of drugs with excipients in thousands of potential combinations. We have developed a self-driving laboratory process for the production, assessment, and optimisation of solubility of liquid formulations suitable for injectable medicines, and apply it to the example molecule curcumin. Our system discovered 7 lead formulations with high solubility (>10 mg mL-1) after sampling only 256 out of 7776 potential formulations (∼3%) in only a few days. Beyond presenting an efficient workflow for the optimisation and discovery of new liquid formulations, this work forms the basis for a more generalised optimisation workflow that could be applied to any formulation problem in the future, especially those where no prior information is known."
