area,pmcid,n_paragraphs,n_sentences,words_methods,words_results,words_body_other,n_supplementary_files,hits_total,hits_own_work,hits_U1,hits_U2,hits_U3,hits_E1,hits_EP,hits_S1,regex_U,regex_E1,regex_EP,regex_S1
A1_imaging,PMC10161767,32,232,1497,2327,0,1,1,1,0,0,0,0,0,1,U0,0,0,1
A1_imaging,PMC12538699,67,523,2595,2898,0,0,5,3,0,0,1,1,1,2,U3,0,1,1
A1_imaging,PMC8665348,41,318,2175,2065,0,2,17,15,0,0,0,2,0,15,U0,1,0,1
A1_imaging,PMC8471570,61,306,2344,1753,0,0,0,0,0,0,0,0,0,0,U0,0,0,0
A1_imaging,PMC12796348,80,457,4022,2802,0,4,7,7,1,0,4,0,0,2,U3,0,0,1
A2_property,PMC12296543,59,311,1821,3651,0,1,0,0,0,0,0,0,0,0,U0,0,0,0
A2_property,PMC12666576,66,344,1424,4801,0,2,0,0,0,0,0,0,0,0,U0,0,0,0
A2_property,PMC11106676,46,375,0,5708,0,1,6,5,0,0,0,0,1,5,U0,0,1,1
A2_property,PMC9546622,36,247,697,1956,839,8,2,2,0,0,0,0,1,1,U0,0,1,1
A2_property,PMC11165469,66,226,1568,2591,28,0,3,2,0,0,0,0,0,3,U0,0,0,1
A3_sensors,PMC11377509,51,415,2724,3901,0,1,2,2,0,0,0,0,0,2,U0,0,0,1
A3_sensors,PMC10039194,23,168,390,2453,0,6,0,0,0,0,0,0,0,0,U0,0,0,0
A3_sensors,PMC10407620,36,174,948,1924,0,2,1,0,0,0,0,0,1,0,U0,0,0,0
A3_sensors,PMC12499495,45,228,696,4797,0,6,4,4,0,0,4,0,0,0,U3,0,0,0
A3_sensors,PMC11348057,38,200,705,4564,36,2,1,1,0,0,0,0,0,1,U0,0,0,1
A4_tissue,PMC11468966,51,207,1918,843,38,2,2,2,1,0,1,0,0,0,U3,0,0,0
A4_tissue,PMC11085928,46,275,1247,2736,0,2,1,0,0,0,0,0,0,1,U0,0,0,0
A4_tissue,PMC10070414,40,283,1745,2994,0,1,3,2,0,0,0,0,0,3,U0,0,0,1
A4_tissue,PMC11170757,57,201,805,1546,7,0,1,0,1,0,0,0,0,0,U0,0,0,0
A4_tissue,PMC8778756,49,198,1348,404,0,0,0,0,0,0,0,0,0,0,U0,0,0,0
A5_autonomous,PMC12511971,37,134,0,2421,90,2,7,7,1,0,0,0,6,0,U1,0,1,0
A5_autonomous,PMC12587402,35,200,1369,2674,0,1,6,5,0,5,0,0,0,1,U2,0,0,1
A5_autonomous,PMC11422183,41,249,1009,2931,0,1,8,7,0,5,0,0,3,0,U2,0,1,0
A5_autonomous,PMC12157168,60,302,1418,1177,0,6,21,18,10,10,1,0,0,0,U3,0,0,0
A5_autonomous,PMC12590431,62,245,1645,1857,0,2,38,34,0,38,0,0,0,0,U2,0,0,0
