version,area,rank,pmcid,decision,reason,other_area,note
v1,A1_imaging,1,PMC12118306,exclude,NOT_BIOMED,,metal-ion detection with polymer microspheres; no biomedical application stated
v1,A1_imaging,2,PMC10107930,exclude,NOT_BIOMED,,bone-marrow biopsy fibrosis grading; no material
v1,A1_imaging,3,PMC10161767,include,,,ML fibre-orientation metrics from WAXD patterns of biological composites
v1,A1_imaging,4,PMC12538699,include_provisional,,,TopoChip image dataset resource; ML examples to be confirmed in full text
v1,A1_imaging,5,PMC12108964,exclude,WRONG_AREA,A2_property,gold-nanostar optical properties from synthesis parameters (not image-based)
v1,A1_imaging,6,PMC8665348,include,,,DL sorting/reconstruction of defocused cell-on-biomaterial microscopy images
v1,A1_imaging,7,PMC8471570,include,,,3D CNN on virtual tomography predicts scaffold mechanical properties
v1,A1_imaging,8,PMC9902733,exclude,NOT_BIOMED,,kidney organoid images; no material
v1,A1_imaging,9,PMC12752004,exclude,NO_ML,,neural networks = nerve fibres
v1,A1_imaging,10,PMC8126813,exclude,NOT_BIOMED,,TOF-SIMS of tumour tissue
v1,A1_imaging,11,PMC11625131,exclude,WRONG_AREA,A2_property,ANN for docetaxel release from gelatin nanoparticles (not image-based)
v1,A1_imaging,12,PMC9173896,exclude,NOT_BIOMED,,dermoscopic melanoma images
v1,A1_imaging,13,PMC12251723,exclude,NOT_BIOMED,,phosphate-removal adsorbent (environmental)
v1,A1_imaging,14,PMC11934609,exclude,NOT_BIOMED,,sperm metabolic imaging
v1,A1_imaging,15,PMC12796348,include,,,hydrogel-particle assay read by lens-free diffraction imaging + DL
v1,A1_imaging,16,PMC11294195,exclude,NOT_BIOMED,,malaria blood-smear diagnosis device (clinical diagnosis; borderline)
v1,A1_imaging,17,PMC12641341,exclude,WRONG_AREA,A5_autonomous,BO-controlled droplet generation
v1,A1_imaging,18,PMC10667280,include_provisional,,,physics-informed DL of liposome accumulation from imaging (beyond quota)
v1,A1_imaging,19,PMC10319894,exclude,NOT_BIOMED,,dystrophic muscle autofluorescence (beyond quota)
v1,A2_property,1,PMC12296543,include,,,decision-tree + SHAP for inhalable aspirin powder process-property
v1,A2_property,2,PMC12666576,include,,,ML for AgNP (antibacterial) process parameters
v1,A2_property,3,PMC9313127,exclude,NO_ML,,neural networks = neuronal networks in hydrogel
v1,A2_property,4,PMC11106676,include,,,IFPTML for nanoparticle drug-delivery systems
v1,A2_property,5,PMC9546622,include,,,GA + DL design of collagen sequences (Tm) with experimental validation
v1,A2_property,6,PMC11165469,include,,,GAN/DL design of meta-fibre reinforced hydrogel composites
v1,A2_property,7,PMC10070414,include,,,CNN generation of spinodal porous bone biomaterials
v1,A2_property,8,PMC12216472,include,,,PLS + ML regression of drug release from coated colonic delivery
v1,A2_property,9,PMC9104973,include,,,multinomial logistic regression for polymer blends for cartilage repair
v1,A2_property,10,PMC11884566,include,,,ML prediction of drug-drug self-assembling nanomedicines
v1,A2_property,11,PMC7917235,exclude,NO_ML,,convolutional coarse-graining of microtubule simulation (no predictive ML model)
v1,A2_property,12,PMC10590434,include,,,ensemble ML for liposome size/PDI
v1,A3_sensors,1,PMC9445076,exclude,NOT_BIOMED,,clinical use of commercial wearable (device incidental)
v1,A3_sensors,2,PMC12473479,exclude,NOT_BIOMED,,FBG land monitoring
v1,A3_sensors,3,PMC9862774,exclude,NOT_BIOMED,,pressure-sensing material; no biomedical use stated (borderline)
v1,A3_sensors,4,PMC12610047,exclude,NOT_BIOMED,,activity recognition from commercial IMUs
v1,A3_sensors,5,PMC12298904,exclude,NOT_BIOMED,,wind-turbine blade impact localisation
v1,A3_sensors,6,PMC11398124,include,,,knowledge-graph ML design of wearable strain sensor
v1,A3_sensors,7,PMC12369696,include,,,CNN-LSTM on triboelectric e-skin for colonoscopic robot
