area,pmcid,doi,year,journal,title,U,E,EP,S,adjudicated,adjudicated_items,dual_coded,also_coded_in_areas
A1,PMC10161767,10.1107/s205225252300204x,2023,IUCrJ,Fast extraction of three-dimensional nanofiber orientation from WAXD patterns using machine learning.,1,1,0,1,yes,U,yes,
A1,PMC10250676,10.3389/fbioe.2023.1105377,2023,Frontiers in bioengineering and biotechnology,Computational approaches for evaluating morphological changes in the corneal stroma associated with decellularization.,0,0,0,0,no,,no,A4
A1,PMC10288606,10.1021/acsnanoscienceau.2c00055,2023,ACS nanoscience Au,Complex Dispersion of Detonation Nanodiamond Revealed by Machine Learning Assisted Cryo-TEM and Coarse-Grained Molecular Dynamics Simulations.,0,0,0,0,no,,yes,
A1,PMC10350735,10.1177/09544119231177834,2023,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",A convolutional neural network for high throughput screening of femoral stem taper corrosion.,0,0,0,0,no,,no,
A1,PMC10497969,10.3389/fbioe.2023.1225495,2023,Frontiers in bioengineering and biotechnology,Contributions of deep learning to automated numerical modelling of the interaction of electric fields and cartilage tissue based on 3D images.,2,0,0,0,no,,yes,
A1,PMC10511398,10.1186/s40729-023-00498-8,2023,International journal of implant dentistry,Influence of exposure of customized dental implant abutments to different cleaning procedures: an in vitro study using AI-assisted SEM/EDS analysis.,0,0,0,0,no,,yes,
A1,PMC10521712,10.34133/2022/9854084,2022,BME frontiers,Jointly Optimized Spatial Histogram UNET Architecture (JOSHUA) for Adipose Tissue Segmentation.,1,0,0,1,no,,yes,A4
A1,PMC10522944,10.1016/j.bioactmat.2023.09.008,2024,Bioactive materials,Synchrotron microtomography reveals insights into the degradation kinetics of bio-degradable coronary magnesium scaffolds.,0,0,0,0,no,,no,
A1,PMC10534500,10.3390/ph16091243,2023,"Pharmaceuticals (Basel, Switzerland)",Comparing the Performance of Raman and Near-Infrared Imaging in the Prediction of the In Vitro Dissolution Profile of Extended-Release Tablets Based on Artificial Neural Networks.,0,0,0,0,no,,yes,
A1,PMC10636134,10.1038/s41598-023-46417-0,2023,Scientific reports,Categorization of collagen type I and II blend hydrogel using multipolarization SHG imaging with ResNet regression.,1,0,0,1,no,,no,
A1,PMC10667280,10.1038/s41598-023-47988-8,2023,Scientific reports,Predicting intratumoral fluid pressure and liposome accumulation using physics informed deep learning.,1,0,0,1,no,,no,
A1,PMC10699105,10.1002/2211-5463.13719,2023,FEBS open bio,"Three-dimensional, PEG-based hydrogels induce spheroid formation and enhance viability of A2058 melanoma cells.",0,0,0,0,no,,no,
A1,PMC10797295,10.7150/thno.90246,2024,Theranostics,Deep learning for automatic organ and tumor segmentation in nanomedicine pharmacokinetics.,1,1,0,1,no,,no,
A1,PMC11044700,10.3389/fbioe.2024.1364553,2024,Frontiers in bioengineering and biotechnology,Deep learning-assisted concentration gradient generation for the study of 3D cell cultures in hydrogel beads of varying stiffness.,0,0,0,0,no,,no,
A1,PMC11170757,10.1021/acsomega.4c01234,2024,ACS omega,Quantitative Evaluation of the Pore and Window Sizes of Tissue Engineering Scaffolds on Scanning Electron Microscope Images Using Deep Learning.,0,0,0,0,yes,EP,no,A4
